Rep NW,96,102,108,114,120,126,132,138,144,150,204,,,,,,,
4,14,14,15.5,15.5,18,21,21,21,23,23,32.5,,,,,,,
7,23,23,25,25,25,25.5,25.5,27.5,27.5,30.5,36.5,,,,,,,
10,31,31,33,33,33.5,33.5,34.5,34.5,36.5,36.5,40.5,,,,,,,
13,37.5,37.5,39.5,40.5,40.5,40.5,41,41,42,42,44,,,,,,,
16,43,43,44,45,45,45,45,45,45,45,48,,,,,,,
,,,,,,,,,,,,,,,,,,
Sent Rep,,,,,,,,,,,,,,,,,,
4,13.5,14,14,15.5,17,17,18,18,19,19,,,,,,,,
7,19,19,20,20,21,21,21,21,22.5,23,,,,,,,,
10,22,22,23,23,24,24.5,25.5,25.5,27,27,,,,,,,,
13,25,25,26.5,27.5,28,28,29,29,30,30,,,,,,,,
16,29,29,30,31,31,31,32,32,33,33,,,,,,,,
,,,,,,,,,,,,,,,,,,
Oromotor,36,48,60,72,84,96,108,120,132,144,204,,,,,,,
75,28,39,44,49,55,57,61,62,64,64,68.25,,,,,,,
50,21.5,30.5,37,41.5,49.5,52,55.5,57,59.5,59.5,65.125,,,,,,,
25,15,22,30,34,44,47,50,52,55,55,62,,,,,,,
10,11,15,22,29,38,41,44,46,50,50,59,,,,,,,
,,,,,,,,,,,,,,,,,,
Phab naming speed pics,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174
70,166,164,161,158,154,151,148,144,140,136,133,129,123,121,117,113,110,106
85,146,142,138,134,130,126,122,118,114,110,106,103,99,96,92,88,85,82
100,122,118,114,110,106,102,98,94,91,88,84,81,78,75,73,70,68,65
115,102,98,95,91,88,84,81,78,76,73,70,68,66,64,62,60,58,57
130,84,80,77,75,72,69,67,65,63,61,59,58,56,55,53,52,,
,,,,,,,,,,,,,,,,,,
Phabdigit,72,78,84,90,96,102,108,114,120,126,132,138,144,150,156,162,168,174
70,134,129,122,118,112,108,102,98,92,88,84,78,74,70,66,62,60,59
85,106,102,96,90,86,81,76,72,68,64,61,58,54,51,49,46,45,42
100,82,78,72,68,65,61,58,54,51,49,46,44,41,39,37,36,35,33
115,64,60,56,53,50,47,45,43,41,39,37,35,33,32,31,30,29,29
130,49,47,45,41,39,37,37,35,33,31,30,29,29,27,27,26,25,25